문장,대분류,중분류,소분류
(-;,긍정,,
(;_;),부정,,
(^^),긍정,,
(^-^),긍정,,
(^^*,긍정,,
(^_^),긍정,,
(^_^;,부정,,
(^o^),긍정,,
(-_-),부정,,
(T_T),부정,,
(ㅡㅡ),부정,,
)-:,부정,,
*^^*,긍정,,
/^o^\,긍정,,
:(,긍정,,
:'-(,긍정,,
:-(,긍정,,
:),부정,,
:-),긍정,,
:/,부정,,
:|,긍정,,
:D,부정,,
:-D,부정,,
:p,중립,,
:-P,부정,,
;,긍정,,
;),긍정,,
;-),긍정,,
;ㅅ;,부정,,
^///^,긍정,,
^^,긍정,,
^^//,긍정,,
^-^;,부정,,
^-^;;,부정,,
^-^;;;;;,부정,,
-_-^,부정,,
<3,긍정,,
0,긍정,,
8-),중립,,
B-),중립,,
XD,긍정,,
ㄱㅅ,긍정,,
ㄱㅇㄷ,긍정,,
가격이 싸다,긍정,,
가까스로,중립,,
가까이 사귀어,긍정,,
가까이하다,긍정,,
가꾸러뜨리다,부정,,
가꾸러트리다,부정,,
가난,부정,,
가난뱅이,부정,,
가난살이,부정,,
가난살이하다,부정,,
가난설음,부정,,
가난에,부정,,
가난에 쪼들려서,부정,,
가난하게,부정,,
가난하고,부정,,
가난하고 어렵다,부정,,
가난하고 천한,부정,,
가난하다,부정,,
가난하여,부정,,
가난한,부정,,
가난한 데다가,부정,,
가난한 사람을,부정,,
가난히,부정,,
가년스럽다,부정,,
가념하다,부정,,
가녕스럽다,부정,,
가누기 어려워하다,부정,,
가누지 못하고,부정,,
가누지 못하다,부정,,
가누지 못할,부정,,
가누지 못할 정도로,부정,,
가누지 못함,부정,,
가눌 수 없게,부정,,
가눌 수 없을,부정,,
가눌 수 없이,부정,,
가능성이 늘어나다,긍정,,
가능성이 있다고,긍정,,
가능하다,긍정,,
가닐가닐하다,부정,,
가다듬어,긍정,,
가다듬어 수습하는,긍정,,
가다듬어 수습하다,긍정,,
가다듬어 정하다,긍정,,
가당찮다,부정,,
가당찮이,부정,,
가당히,긍정,,
가두거나,부정,,
가두거나 해치거나,부정,,
가드올려,부정,,
가뜬하게,긍정,,
가라앉다,중립,,
가라앉지 않은,중립,,
가라앉혀 바로잡다,긍정,,
가래,부정,,
가래 따위가,부정,,
가래가,부정,,
가래가 섞인,부정,,
가량맞고,부정,,
가량맞고 야살스러운,부정,,
가량맞고 야살스러움,부정,,
가려서 좋아하다,부정,,
가려운,부정,,
가려운 느낌이,부정,,
가려운 증상을,부정,,
가련하게,부정,,
가련하게 여기다,부정,,
가련하게 여김,부정,,
가련한,부정,,
가련한 듯하다,부정,,
가렵고,부정,,
가로막아서,부정,,
가로채서,부정,,
가로채어,부정,,
가르치며,긍정,,
가르침,긍정,,
가르침을 받아,중립,,
가리지 못하다,부정,,
가리지 않고,중립,,
가마득하다,부정,,
가만있지 못하고,부정,,
가망 없는,부정,,
가망이 없게,부정,,
가벼운 마음으로,긍정,,
가벼운 말이나,부정,,
가벼운 상처,부정,,
가벼운 슬픔,부정,,
가벼운 행동으로,부정,,
가볍게,부정,,
가볍게 까부는,부정,,
가볍게 까불다,부정,,
가볍게 쑤시듯,부정,,
가볍게 웃다,긍정,,
가볍게 채신없이,부정,,
가볍게 행동하거나,부정,,
